;alcohol;class;mean_per_class;variance_mean
0;14.23;0.0;13.74;0.4900000000000002
1;13.2;0.0;13.74;-0.5400000000000009
2;13.16;0.0;13.74;-0.5800000000000001
3;14.37;0.0;13.74;0.629999999999999
4;13.24;0.0;13.74;-0.5
5;14.2;0.0;13.74;0.4599999999999991
6;14.39;0.0;13.74;0.6500000000000004
7;14.06;0.0;13.74;0.3200000000000003
8;14.83;0.0;13.74;1.0899999999999999
9;13.86;0.0;13.74;0.11999999999999922
10;14.1;0.0;13.74;0.35999999999999943
11;14.12;0.0;13.74;0.379999999999999
12;13.75;0.0;13.74;0.009999999999999787
13;14.75;0.0;13.74;1.0099999999999998
14;14.38;0.0;13.74;0.6400000000000006
15;13.63;0.0;13.74;-0.10999999999999943
16;14.3;0.0;13.74;0.5600000000000005
17;13.83;0.0;13.74;0.08999999999999986
18;14.19;0.0;13.74;0.4499999999999993
19;13.64;0.0;13.74;-0.09999999999999964
20;14.06;0.0;13.74;0.3200000000000003
21;12.93;0.0;13.74;-0.8100000000000005
22;13.71;0.0;13.74;-0.02999999999999936
23;12.85;0.0;13.74;-0.8900000000000006
24;13.5;0.0;13.74;-0.2400000000000002
25;13.05;0.0;13.74;-0.6899999999999995
26;13.39;0.0;13.74;-0.34999999999999964
27;13.3;0.0;13.74;-0.4399999999999995
28;13.87;0.0;13.74;0.129999999999999
29;14.02;0.0;13.74;0.27999999999999936
30;13.73;0.0;13.74;-0.009999999999999787
31;13.58;0.0;13.74;-0.16000000000000014
32;13.68;0.0;13.74;-0.0600000000000005
33;13.76;0.0;13.74;0.019999999999999574
34;13.51;0.0;13.74;-0.23000000000000043
35;13.48;0.0;13.74;-0.2599999999999998
36;13.28;0.0;13.74;-0.46000000000000085
37;13.05;0.0;13.74;-0.6899999999999995
38;13.07;0.0;13.74;-0.6699999999999999
39;14.22;0.0;13.74;0.4800000000000004
40;13.56;0.0;13.74;-0.17999999999999972
41;13.41;0.0;13.74;-0.33000000000000007
42;13.88;0.0;13.74;0.14000000000000057
43;13.24;0.0;13.74;-0.5
44;13.05;0.0;13.74;-0.6899999999999995
45;14.21;0.0;13.74;0.47000000000000064
46;14.38;0.0;13.74;0.6400000000000006
47;13.9;0.0;13.74;0.16000000000000014
48;14.1;0.0;13.74;0.35999999999999943
49;13.94;0.0;13.74;0.1999999999999993
50;13.05;0.0;13.74;-0.6899999999999995
51;13.83;0.0;13.74;0.08999999999999986
52;13.82;0.0;13.74;0.08000000000000007
53;13.77;0.0;13.74;0.02999999999999936
54;13.74;0.0;13.74;0.0
55;13.56;0.0;13.74;-0.17999999999999972
56;14.22;0.0;13.74;0.4800000000000004
57;13.29;0.0;13.74;-0.45000000000000107
58;13.72;0.0;13.74;-0.019999999999999574
59;12.37;1.0;12.28;0.08999999999999986
60;12.33;1.0;12.28;0.05000000000000071
61;12.64;1.0;12.28;0.3600000000000012
62;13.67;1.0;12.28;1.3900000000000006
63;12.37;1.0;12.28;0.08999999999999986
64;12.17;1.0;12.28;-0.10999999999999943
65;12.37;1.0;12.28;0.08999999999999986
66;13.11;1.0;12.28;0.8300000000000001
67;12.37;1.0;12.28;0.08999999999999986
68;13.34;1.0;12.28;1.0600000000000005
69;12.21;1.0;12.28;-0.06999999999999851
70;12.29;1.0;12.28;0.009999999999999787
71;13.86;1.0;12.28;1.58
72;13.49;1.0;12.28;1.2100000000000009
73;12.99;1.0;12.28;0.7100000000000009
74;11.96;1.0;12.28;-0.3199999999999985
75;11.66;1.0;12.28;-0.6199999999999992
76;13.03;1.0;12.28;0.75
77;11.84;1.0;12.28;-0.4399999999999995
78;12.33;1.0;12.28;0.05000000000000071
79;12.7;1.0;12.28;0.41999999999999993
80;12.0;1.0;12.28;-0.27999999999999936
81;12.72;1.0;12.28;0.4400000000000013
82;12.08;1.0;12.28;-0.1999999999999993
83;13.05;1.0;12.28;0.7700000000000014
84;11.84;1.0;12.28;-0.4399999999999995
85;12.67;1.0;12.28;0.39000000000000057
86;12.16;1.0;12.28;-0.11999999999999922
87;11.65;1.0;12.28;-0.629999999999999
88;11.64;1.0;12.28;-0.6399999999999988
89;12.08;1.0;12.28;-0.1999999999999993
90;12.08;1.0;12.28;-0.1999999999999993
91;12.0;1.0;12.28;-0.27999999999999936
92;12.69;1.0;12.28;0.41000000000000014
93;12.29;1.0;12.28;0.009999999999999787
94;11.62;1.0;12.28;-0.6600000000000001
95;12.47;1.0;12.28;0.19000000000000128
96;11.81;1.0;12.28;-0.46999999999999886
97;12.29;1.0;12.28;0.009999999999999787
98;12.37;1.0;12.28;0.08999999999999986
99;12.29;1.0;12.28;0.009999999999999787
100;12.08;1.0;12.28;-0.1999999999999993
101;12.6;1.0;12.28;0.3200000000000003
102;12.34;1.0;12.28;0.0600000000000005
103;11.82;1.0;12.28;-0.4599999999999991
104;12.51;1.0;12.28;0.23000000000000043
105;12.42;1.0;12.28;0.14000000000000057
106;12.25;1.0;12.28;-0.02999999999999936
107;12.72;1.0;12.28;0.4400000000000013
108;12.22;1.0;12.28;-0.05999999999999872
109;11.61;1.0;12.28;-0.6699999999999999
110;11.46;1.0;12.28;-0.8199999999999985
111;12.52;1.0;12.28;0.2400000000000002
112;11.76;1.0;12.28;-0.5199999999999996
113;11.41;1.0;12.28;-0.8699999999999992
114;12.08;1.0;12.28;-0.1999999999999993
115;11.03;1.0;12.28;-1.25
116;11.82;1.0;12.28;-0.4599999999999991
117;12.42;1.0;12.28;0.14000000000000057
118;12.77;1.0;12.28;0.4900000000000002
119;12.0;1.0;12.28;-0.27999999999999936
120;11.45;1.0;12.28;-0.8300000000000001
121;11.56;1.0;12.28;-0.7199999999999989
122;12.42;1.0;12.28;0.14000000000000057
123;13.05;1.0;12.28;0.7700000000000014
124;11.87;1.0;12.28;-0.41000000000000014
125;12.07;1.0;12.28;-0.20999999999999908
126;12.43;1.0;12.28;0.15000000000000036
127;11.79;1.0;12.28;-0.4900000000000002
128;12.37;1.0;12.28;0.08999999999999986
129;12.04;1.0;12.28;-0.2400000000000002
130;12.86;2.0;13.15;-0.2900000000000009
131;12.88;2.0;13.15;-0.2699999999999996
132;12.81;2.0;13.15;-0.33999999999999986
133;12.7;2.0;13.15;-0.45000000000000107
134;12.51;2.0;13.15;-0.6400000000000006
135;12.6;2.0;13.15;-0.5500000000000007
136;12.25;2.0;13.15;-0.9000000000000004
137;12.53;2.0;13.15;-0.620000000000001
138;13.49;2.0;13.15;0.33999999999999986
139;12.84;2.0;13.15;-0.3100000000000005
140;12.93;2.0;13.15;-0.22000000000000064
141;13.36;2.0;13.15;0.20999999999999908
142;13.52;2.0;13.15;0.3699999999999992
143;13.62;2.0;13.15;0.46999999999999886
144;12.25;2.0;13.15;-0.9000000000000004
145;13.16;2.0;13.15;0.009999999999999787
146;13.88;2.0;13.15;0.7300000000000004
147;12.87;2.0;13.15;-0.28000000000000114
148;13.32;2.0;13.15;0.16999999999999993
149;13.08;2.0;13.15;-0.07000000000000028
150;13.5;2.0;13.15;0.34999999999999964
151;12.79;2.0;13.15;-0.3600000000000012
152;13.11;2.0;13.15;-0.040000000000000924
153;13.23;2.0;13.15;0.08000000000000007
154;12.58;2.0;13.15;-0.5700000000000003
155;13.17;2.0;13.15;0.019999999999999574
156;13.84;2.0;13.15;0.6899999999999995
157;12.45;2.0;13.15;-0.7000000000000011
158;14.34;2.0;13.15;1.1899999999999995
159;13.48;2.0;13.15;0.33000000000000007
160;12.36;2.0;13.15;-0.7900000000000009
161;13.69;2.0;13.15;0.5399999999999991
162;12.85;2.0;13.15;-0.3000000000000007
163;12.96;2.0;13.15;-0.1899999999999995
164;13.78;2.0;13.15;0.629999999999999
165;13.73;2.0;13.15;0.5800000000000001
166;13.45;2.0;13.15;0.29999999999999893
167;12.82;2.0;13.15;-0.33000000000000007
168;13.58;2.0;13.15;0.4299999999999997
169;13.4;2.0;13.15;0.25
170;12.2;2.0;13.15;-0.9500000000000011
171;12.77;2.0;13.15;-0.3800000000000008
172;14.16;2.0;13.15;1.0099999999999998
173;13.71;2.0;13.15;0.5600000000000005
174;13.4;2.0;13.15;0.25
175;13.27;2.0;13.15;0.11999999999999922
176;13.17;2.0;13.15;0.019999999999999574
177;14.13;2.0;13.15;0.9800000000000004
